id,title,intervention_name,summary,public_summary,link,citation,program_success,city,geography,region,source_type,race,intervention_goal,implementers,scale,country,program_components,population,status
82,Substance Abuse Treatment Facility Locator,Helpline,"The Behavioral Health Treatment Services Locator, powered by SAMHSA, is a ""confidential and anonymous source of information for persons seeking treatment facilities in the United States or U.S. Territories for substance abuse/addiction and/or mental health problems. Free and confidential information [is available either by phone at 1-800-662-HELP (4357)
or 1-800-487-4889 (TTY) or online] in English and Spanish for individuals and family members facing substance abuse and mental health issues. 24 hours a day, 7 days a week."" (SAMHSA, 2016)","The Behavioral Health Treatment Services Locator, powered by SAMHSA, is a ""confidential and anonymous source of information for persons seeking treatment facilities in the United States or U.S. Territories for substance abuse/addiction and/or mental health problems. Free and confidential information [is available either by phone at 1-800-662-HELP (4357)
or 1-800-487-4889 (TTY) or online] in English and Spanish for individuals and family members facing substance abuse and mental health issues. 24 hours a day, 7 days a week."" (SAMHSA, 2016)",https://findtreatment.samhsa.gov,SAMHSA. (2016). Behavioral Health Treatment Services Locator [Webpage]. Retrieved from https://findtreatment.samhsa.gov,No Evaluation,,,General,Recommendations from Government,,"Prevention,Treatment",Federal Officials,Federal,Domestic,,General,APPROVED
83,Overdose Education and Nasal Naloxone Distribution (OEND),Layperson Training in Administration of Naloxone,"Abstract: ""To evaluate the impact of state supported overdose education and nasal naloxone distribution (OEND) programs on rates of opioid related death from overdose and acute care utilization in Massachusetts. Interrupted time series analysis of opioid related overdose death and acute care utilization rates from 2002 to 2009 comparing community-year strata with high and low rates of OEND implementation to those with no implementation. Nineteen Massachusetts communities (geographically distinct cities and towns) with at least five fatal opioid overdoses in each of the years 2004 to 2006. OEND was implemented among opioid users at risk for overdose, social service agency staff, family, and friends of opioid users. OEND programs equipped people at risk for overdose and bystanders with nasal naloxone rescue kits and trained them how to prevent, recognize, and respond to an overdose by engaging emergency medical services, providing rescue breathing, and delivering naloxone. The main outcome measures were adjusted rate ratios for annual deaths related to opioid overdose and utilization of acute care hospitals. Among these communities, OEND programs trained 2912 potential bystanders who reported 327 rescues. Both community-year strata with 1-100 enrollments per 100,000 population (adjusted rate ratio 0.73, 95% confidence interval 0.57 to 0.91) and community-year strata with greater than 100 enrollments per 100,000 population (0.54, 0.39 to 0.76) had significantly reduced adjusted rate ratios compared with communities with no implementation. Differences in rates of acute care hospital utilization were not significant. Opioid overdose death rates were reduced in communities where OEND was implemented. This study provides observational evidence that by training potential bystanders to prevent, recognize, and respond to opioid overdoses, OEND is an effective intervention."" (Walley et al., 2013)","Abstract: ""To evaluate the impact of state supported overdose education and nasal naloxone distribution (OEND) programs on rates of opioid related death from overdose and acute care utilization in Massachusetts. Interrupted time series analysis of opioid related overdose death and acute care utilization rates from 2002 to 2009 comparing community-year strata with high and low rates of OEND implementation to those with no implementation. Nineteen Massachusetts communities (geographically distinct cities and towns) with at least five fatal opioid overdoses in each of the years 2004 to 2006. OEND was implemented among opioid users at risk for overdose, social service agency staff, family, and friends of opioid users. OEND programs equipped people at risk for overdose and bystanders with nasal naloxone rescue kits and trained them how to prevent, recognize, and respond to an overdose by engaging emergency medical services, providing rescue breathing, and delivering naloxone. The main outcome measures were adjusted rate ratios for annual deaths related to opioid overdose and utilization of acute care hospitals. Among these communities, OEND programs trained 2912 potential bystanders who reported 327 rescues. Both community-year strata with 1-100 enrollments per 100,000 population (adjusted rate ratio 0.73, 95% confidence interval 0.57 to 0.91) and community-year strata with greater than 100 enrollments per 100,000 population (0.54, 0.39 to 0.76) had significantly reduced adjusted rate ratios compared with communities with no implementation. Differences in rates of acute care hospital utilization were not significant. Opioid overdose death rates were reduced in communities where OEND was implemented. This study provides observational evidence that by training potential bystanders to prevent, recognize, and respond to opioid overdoses, OEND is an effective intervention."" (Walley et al., 2013)",https://doi.org/10.1136/bmj.f174,"Walley, A. Y., Xuan, Z., Hackman, H. H., Quinn, E., Doe-Simkins, M., Sorensen-Alawad, A., ... & Ozonoff, A. (2013). Opioid overdose rates and implementation of overdose education and nasal naloxone distribution in Massachusetts: interrupted time series analysis. Bmj, 346, f174.",Findings Mixed,,MA,Not Specified,Published Literature,,Harm Reduction,"Health Care Providers,State Officials,Community Officials,County Officials,First Responders,Public Health Officials,Anti-Drug Coalition,Non-Governmental Community Organization",State,Domestic,"Naloxone,Training,Behavioral,Family Involvement",General,APPROVED
84,Distribution of Naloxone to Emergency Workers,Use of Naloxone by First Responders,"Abstract: ""Naloxone is a medication that reverses respiratory depression from opioid overdose if given in time. Paramedics routinely administer naloxone to opioid overdose victims in the prehospital setting, and many states are moving to increase access to the medication. Several jurisdictions have expanded naloxone administration authority to nonparamedic first responders, and others are considering that step. We report here on policy change in Massachusetts, where several communities have equipped emergency medical technicians, law enforcement officers, and firefighters with naloxone."" (Ruiz et al., 2014)","Abstract: ""Naloxone is a medication that reverses respiratory depression from opioid overdose if given in time. Paramedics routinely administer naloxone to opioid overdose victims in the prehospital setting, and many states are moving to increase access to the medication. Several jurisdictions have expanded naloxone administration authority to nonparamedic first responders, and others are considering that step. We report here on policy change in Massachusetts, where several communities have equipped emergency medical technicians, law enforcement officers, and firefighters with naloxone."" (Ruiz et al., 2014)",http://dx.doi.org.proxygw.wrlc.org/10.2105/AJPH.2014.302062,"Davis, C. S., Ruiz, S., Glynn, P., Picariello, G., & Walley, A. Y. (2014). Expanded access to naloxone among firefighters, police officers, and emergency medical technicians in Massachusetts. American journal of public health, 104(8), e7-e9.",No Evaluation,Boston; Revere; Quincy,MA,Urban,Published Literature,,Harm Reduction,"Health Care Providers,State Officials,Community Officials,County Officials,First Responders,Public Health Officials","Community,County,State",Domestic,"Naloxone,Training",General,APPROVED
85,Expanding Access to Naloxone for Family Members: The Massachusetts Experience,Layperson Training in Administration of Naloxone,"Abstract: ""The Massachusetts Department of Public Health Overdose Education and Naloxone Distribution Program provides overdose education and naloxone rescue kits to people at risk for overdose and bystanders, including family members. Using Massachusetts Department of Public Health data, the aims are to: (i) describe characteristics of family members who receive naloxone; (ii) identify where family members obtain naloxone; and (iii) describe characteristics of rescues by family members. We conducted a retrospective review using program enrollee information collected on a standardised form between 2008 and 2015. We calculated descriptive statistics, including demographics, current substance use, enrolment location, history of witnessed overdoses and rescue attempt characteristics. We conducted a stratified analysis comparing family members who used drugs with those who did not. Family members were 27% of total program enrollees (n = 10,883/40,801). Family members who reported substance use (n = 4679) were 35.6 years (mean), 50.6% female, 76.3% non‐Hispanic white, 75.6% had witnessed an overdose, and they obtained naloxone most frequently at HIV prevention programs. Family members who did not report substance use (n = 6148) were 49.2 years (mean), 73.8% female, 87.9% non‐Hispanic white, 35.3% had witnessed an overdose, and they obtained naloxone most frequently at community meetings. Family members were responsible for 20% (n = 860/4373) of the total rescue attempts. The Massachusetts experience demonstrates that family members can be active participants in responding to the overdose epidemic by rescuing family members and others. Targeted intervention strategies for families should be included in efforts to expand overdose education and naloxone in Massachusetts."" (Bagley et al., 2018)","Abstract: ""The Massachusetts Department of Public Health Overdose Education and Naloxone Distribution Program provides overdose education and naloxone rescue kits to people at risk for overdose and bystanders, including family members. Using Massachusetts Department of Public Health data, the aims are to: (i) describe characteristics of family members who receive naloxone; (ii) identify where family members obtain naloxone; and (iii) describe characteristics of rescues by family members. We conducted a retrospective review using program enrollee information collected on a standardised form between 2008 and 2015. We calculated descriptive statistics, including demographics, current substance use, enrolment location, history of witnessed overdoses and rescue attempt characteristics. We conducted a stratified analysis comparing family members who used drugs with those who did not. Family members were 27% of total program enrollees (n = 10,883/40,801). Family members who reported substance use (n = 4679) were 35.6 years (mean), 50.6% female, 76.3% non‐Hispanic white, 75.6% had witnessed an overdose, and they obtained naloxone most frequently at HIV prevention programs. Family members who did not report substance use (n = 6148) were 49.2 years (mean), 73.8% female, 87.9% non‐Hispanic white, 35.3% had witnessed an overdose, and they obtained naloxone most frequently at community meetings. Family members were responsible for 20% (n = 860/4373) of the total rescue attempts. The Massachusetts experience demonstrates that family members can be active participants in responding to the overdose epidemic by rescuing family members and others. Targeted intervention strategies for families should be included in efforts to expand overdose education and naloxone in Massachusetts."" (Bagley et al., 2018)",https://doi.org/10.1111/dar.12551,"Bagley, S. M., Forman, L. S., Ruiz, S., Cranston, K., & Walley, A. Y. (2018). Expanding access to naloxone for family members: The Massachusetts experience. Drug and alcohol review, 37(4), 480-486.",Significant Improvement,,MA,General,Published Literature,"Black or African American,White,Asian or Pacific Islander,American Indian or Alaska Native,Hispanic or Latino",Harm Reduction,"Health Care Providers,State Officials,Community Officials,Public Health Officials,Anti-Drug Coalition,Non-Governmental Community Organization","Community,State",Domestic,"Naloxone,Training,Behavioral,Family Involvement",General,APPROVED
86,Contingency Management ,Contingency Management,"""Research has demonstrated the effectiveness of treatment approaches using contingency management (CM) principles, which involve giving patients tangible rewards to reinforce positive behaviors such as abstinence. Studies conducted in both methadone programs and psychosocial counseling treatment programs demonstrate that incentive-based interventions are highly effective in increasing treatment retention and promoting abstinence from drugs."" (NIDA, 2018)","""Research has demonstrated the effectiveness of treatment approaches using contingency management (CM) principles, which involve giving patients tangible rewards to reinforce positive behaviors such as abstinence. Studies conducted in both methadone programs and psychosocial counseling treatment programs demonstrate that incentive-based interventions are highly effective in increasing treatment retention and promoting abstinence from drugs."" (NIDA, 2018)",https://www.drugabuse.gov/publications/principles-drug-addiction-treatment-research-based-guide-third-edition/evidence-based-approaches-to-drug-addiction-treatment/behavioral-5,"NIDA. (2018, January 17). Principles of Drug Addiction Treatment: A Research-Based Guide (Third Edition). Retrieved from https://www.drugabuse.gov/publications/principles-drug-addiction-treatment-research-based-guide-third-edition on 2018, July 23",Significant Improvement,,,Not Specified,Recommendations from Government,,"Treatment,Recovery","Health Care Providers,Public Health Officials,Anti-Drug Coalition,Non-Governmental Community Organization","Community,County,State,Federal",Domestic,"Behavioral,Mental Health,Recovery Program,Incentives",Adults,APPROVED
87,Opioids and the Overdose Epidemic,Youth Education Program,"""The article 'Opioids and The Overdose Epidemic' helps to show the extent of the current opioid crisis as well as what is causing it. The article also explains that while prescription opioid pain medications can play an important role in a person’s medical care, they need to be used with extreme care. Included is advice on how students can keep themselves and loved ones safe."" Provided in this website are printable PDFs, lesson plans, writing prompts and critical thinking questions pertaining to opioid drug facts and advice for healthy living for students between grades 6 through 12. (Scholastic Inc., 2018)","""The article 'Opioids and The Overdose Epidemic' helps to show the extent of the current opioid crisis as well as what is causing it. The article also explains that while prescription opioid pain medications can play an important role in a person’s medical care, they need to be used with extreme care. Included is advice on how students can keep themselves and loved ones safe."" Provided in this website are printable PDFs, lesson plans, writing prompts and critical thinking questions pertaining to opioid drug facts and advice for healthy living for students between grades 6 through 12. (Scholastic Inc., 2018)",http://headsup.scholastic.com/teachers/opioid-overdose-epidemic,Scholastic Inc. (2018). Opioids and the Overdose Epidemic [Webpage]. Retrieved from http://headsup.scholastic.com/teachers/opioid-overdose-epidemic,No Evaluation,,,General,Other,,Prevention,Schools,"Community,County",Domestic,Communication,Youth,REJECTED
88,Rx for Understanding,Youth Education Program,"Rx for Understanding: Be Smart About Prescription Drugs includes 10 cross-curricular lessons for middle school students that focuses on five themes: relating the issue of prescription drug safety to overall health, understanding proper use, understanding misuse, understanding abuse, and conducting an application-based culminating project. There are explicit lessons outlined for each grade level as well as student performance indicators. The site did not indicate if an evaluation of the program has been conducted. (NEA, 2018)","Rx for Understanding: Be Smart About Prescription Drugs includes 10 cross-curricular lessons for middle school students that focuses on five themes: relating the issue of prescription drug safety to overall health, understanding proper use, understanding misuse, understanding abuse, and conducting an application-based culminating project. There are explicit lessons outlined for each grade level as well as student performance indicators. The site did not indicate if an evaluation of the program has been conducted. (NEA, 2018)",http://healthyfutures.nea.org/wpcproduct/rx-for-understanding-be-smart-about-prescription-drugs-grades-5-8/,NEA. (2018). Rx for Understanding: Be Smart About Prescription Drugs (Grades 5-8) [Webpage]. Retrieved from http://healthyfutures.nea.org/wpcproduct/rx-for-understanding-be-smart-about-prescription-drugs-grades-5-8/,No Evaluation,,,General,Other,,Prevention,Schools,"Community,County",Domestic,Communication,Youth,APPROVED
89,Safe Consumption Sites,Safe Consumption Sites,"Abstract: ""Supervised drug consumption facilities (SCFs) have increasingly been implemented in response to public health and public order concerns associated with illicit drug use. We systematically reviewed the literature investigating the health and community impacts of SCFs. Consistent evidence demonstrates that SCFs mitigate overdose-related harms and unsafe drug use behaviours, as well as facilitate uptake of addiction treatment and other health services among people who use drugs (PWUD). Further, SCFs have been associated with improvements in public order without increasing drug-related crime. SCFs have also been shown to be cost-effective. This systematic review suggests that SCFs are effectively meeting their primary public health and order objectives and therefore supports their role within a continuum of services for PWUD. Additional studies are needed to better understand the potential long-term health impacts of SCFs and how innovations in SCF programming may help to optimize the effectiveness of this intervention."" Forty-seven studies conducted in Vancouver, Canada; Sydney, Australia; Germany; Denmark; Spain; and the Netherlands were reviewed to support this conclusion. ","Abstract: ""Supervised drug consumption facilities (SCFs) have increasingly been implemented in response to public health and public order concerns associated with illicit drug use. We systematically reviewed the literature investigating the health and community impacts of SCFs. Consistent evidence demonstrates that SCFs mitigate overdose-related harms and unsafe drug use behaviours, as well as facilitate uptake of addiction treatment and other health services among people who use drugs (PWUD). Further, SCFs have been associated with improvements in public order without increasing drug-related crime. SCFs have also been shown to be cost-effective. This systematic review suggests that SCFs are effectively meeting their primary public health and order objectives and therefore supports their role within a continuum of services for PWUD. Additional studies are needed to better understand the potential long-term health impacts of SCFs and how innovations in SCF programming may help to optimize the effectiveness of this intervention."" Forty-seven studies conducted in Vancouver, Canada; Sydney, Australia; Germany; Denmark; Spain; and the Netherlands were reviewed to support this conclusion. ",https://www.ncbi.nlm.nih.gov/pubmed/28875422,"Kennedy, M. C., Karamouzian, M., & Kerr, T. (2017). Public health and public order outcomes associated with supervised drug consumption facilities: a systematic review. Current HIV/AIDS Reports, 14(5), 161-183.",Significant Improvement,,,General,Published Literature,,Harm Reduction,"State Officials,Community Officials,County Officials,Public Health Officials,Non-Governmental Community Organization","Community,County,State",International,Supervised Consumption Sites,General,APPROVED
90,Contingency management ,Contingency Management,"Clinical studies comparing voucher-based reinforcement to traditional treatment regimens have found that voucher-based reinforcement is associated with longer treatment engagement, longer periods of abstinence, and greater improvements in personal function. These positive findings, initially demonstrated with individuals with cocaine use disorders, have been reproduced in individuals with alcohol, opioid, and methamphetamine use disorders. ---------------


Substance use disorders (SUDs) represent a highly prevalent and costly public health problem in the United States and most other developed and developing countries. Indeed, almost one-fifth (18%) of the U.S. population will experience an SUD at some point in their lifetime and the associated economic burden in terms of lost productivity and increased morbidity and mortality is estimated at $5 billion or more annually (Galanter & Kleber, 2008). The need for greater scientific understanding of SUDs as well as effective interventions for preventing and treating these disorders is tremendous. The field of behavior analysis has made numerous contributions to a scientific analysis of SUDs. Among those contributions is the use of contingency management (CM) to treat SUDs (Higgins, Silverman, & Heil, 2008), which is the focus of this chapter. CM involves the systeMedication Assisted Treatmentic application of reinforcing or punishing consequences to promote and sustain behavior change. When used in the treatment of SUDs, CM interventions usually focus not only on increasing abstinence from drug use, but also on increasing clinic attendance, adherence with medication regimens, and other therapeutic targets such as vocational goals (see Higgins et al., 2008). CM is typically used as part of a more comprehensive treatment intervention for SUDs, but it has also been used as an effective stand-alone treatment, depending on the particular type of SUD and population. CM treatments for SUDs have taken different forms over the approxiMedication Assisted Treatmentely 40 years in which they have appeared in the scientific literature, including, for example, earning clinic privileges contingent on objectively verified drug abstinence among methadone maintenance patients (e.g., Stitzer, Iguchi, & Felch, 1992), forfeiting a professional license contingent on drug use among drug-dependent health care workers (e.g., Crowley, 1985â1986), earning temporary housing among homeless drug-dependent individuals contingent on abstinence from drug use (e.g., Milby, Schumacher, Wallace, Freedmen, & Vuchinich, 2005), and earning vouchers exchangeable for retail items contingent on abstinence from drug use among individuals dependent on cocaine and other drugs (e.g., Higgins et al.,1991). As we discuss in greater detail later, the practice of offering abstinence-contingent vouchers exchangeable for retail items or other monetary-based consequences for promoting behavior change is the most thoroughly researched of these different types of CM and thus is the primary focus of this chapter. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","Clinical studies comparing voucher-based reinforcement to traditional treatment regimens have found that voucher-based reinforcement is associated with longer treatment engagement, longer periods of abstinence, and greater improvements in personal function. These positive findings, initially demonstrated with individuals with cocaine use disorders, have been reproduced in individuals with alcohol, opioid, and methamphetamine use disorders. ---------------


Substance use disorders (SUDs) represent a highly prevalent and costly public health problem in the United States and most other developed and developing countries. Indeed, almost one-fifth (18%) of the U.S. population will experience an SUD at some point in their lifetime and the associated economic burden in terms of lost productivity and increased morbidity and mortality is estimated at $5 billion or more annually (Galanter & Kleber, 2008). The need for greater scientific understanding of SUDs as well as effective interventions for preventing and treating these disorders is tremendous. The field of behavior analysis has made numerous contributions to a scientific analysis of SUDs. Among those contributions is the use of contingency management (CM) to treat SUDs (Higgins, Silverman, & Heil, 2008), which is the focus of this chapter. CM involves the systeMedication Assisted Treatmentic application of reinforcing or punishing consequences to promote and sustain behavior change. When used in the treatment of SUDs, CM interventions usually focus not only on increasing abstinence from drug use, but also on increasing clinic attendance, adherence with medication regimens, and other therapeutic targets such as vocational goals (see Higgins et al., 2008). CM is typically used as part of a more comprehensive treatment intervention for SUDs, but it has also been used as an effective stand-alone treatment, depending on the particular type of SUD and population. CM treatments for SUDs have taken different forms over the approxiMedication Assisted Treatmentely 40 years in which they have appeared in the scientific literature, including, for example, earning clinic privileges contingent on objectively verified drug abstinence among methadone maintenance patients (e.g., Stitzer, Iguchi, & Felch, 1992), forfeiting a professional license contingent on drug use among drug-dependent health care workers (e.g., Crowley, 1985â1986), earning temporary housing among homeless drug-dependent individuals contingent on abstinence from drug use (e.g., Milby, Schumacher, Wallace, Freedmen, & Vuchinich, 2005), and earning vouchers exchangeable for retail items contingent on abstinence from drug use among individuals dependent on cocaine and other drugs (e.g., Higgins et al.,1991). As we discuss in greater detail later, the practice of offering abstinence-contingent vouchers exchangeable for retail items or other monetary-based consequences for promoting behavior change is the most thoroughly researched of these different types of CM and thus is the primary focus of this chapter. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",https://www.ncbi.nlm.nih.gov/books/NBK424859/,"Higgins ST, Heil SH, Sigmon SC. Voucher-based contingency management in the treatment of substance use disorders. Washington, DC, US: American Psychological Association, 2013. p. 481-500.  -------------

Higgins, S. T., Heil, S. H., & Sigmon, S. C. (2013). Voucher-based contingency management in the treatment of substance use disorders. APA handbook of behavior analysis, 2, 481-500.  --------------

Higgins ST, Heil SH, Sigmon SC. Voucher-based contingency management in the treatment of substance use disorders. In: Madden GJ, Dube WV, Hackenberg TD, Hanley GP, Lattal KA, editors. APA handbook of behavior analysis, Vol. 2: Translating principles into practice. Washington, DC, US: American Psychological Association; 2013. pp. 481–500. ",,,,,Report,,"Treatment,Recovery","Health Care Providers,Mental Health Care Providers,Community Officials,County Officials,Recovery Community,Public Health Officials,Non-Governmental Community Organization","Community,County",,"Recovery Program,Incentives",General,DRAFT
91,Project Lazarus,Other,"""Project Lazarus, a non-profit organization that originated in Wilkes County, North Carolina, provides training and technical assistance to communities and clinicians addressing prescription medication issues. The Project Lazarus Model is a  public health model based on the twin premises that drug overdose deaths are preventable and that all communities are ultimately responsible for their own health. The Model can be conceptualized as a wheel with three core components that make up the ""Hub"" of the wheel and seven components that make up the ""Spokes."" The Hub core components: Public Awareness, Coalition Action, and Data and Evaluation. The Spokes components: Community Education, Provider Education, Hospital ED Policies, Diversion Control, Pain Patient Support, Harm Reduction, and Addiction Treatment. This wheel is always in motion since coalitions and communities are always evolving. A coalition may start with a focus in one or two areas and then expand to other areas as the availability of resources changes, community sector engagement increases, or the nature of the problem shifts."" To date, components of the Project Lazarus Model have been implemented in 31 states. The site indicated researchers  at the University of North Carolina Injury and Prevention Research Center at Chapel Hill recently conducted a formal evaluation of the statewide Community Care of NC collaborative Project Lazarus and found that at least two of the spoke to have a significant positive impact on mortality due to overdose.  (Project Lazarus, 2018)","""Project Lazarus, a non-profit organization that originated in Wilkes County, North Carolina, provides training and technical assistance to communities and clinicians addressing prescription medication issues. The Project Lazarus Model is a  public health model based on the twin premises that drug overdose deaths are preventable and that all communities are ultimately responsible for their own health. The Model can be conceptualized as a wheel with three core components that make up the ""Hub"" of the wheel and seven components that make up the ""Spokes."" The Hub core components: Public Awareness, Coalition Action, and Data and Evaluation. The Spokes components: Community Education, Provider Education, Hospital ED Policies, Diversion Control, Pain Patient Support, Harm Reduction, and Addiction Treatment. This wheel is always in motion since coalitions and communities are always evolving. A coalition may start with a focus in one or two areas and then expand to other areas as the availability of resources changes, community sector engagement increases, or the nature of the problem shifts."" To date, components of the Project Lazarus Model have been implemented in 31 states. The site indicated researchers  at the University of North Carolina Injury and Prevention Research Center at Chapel Hill recently conducted a formal evaluation of the statewide Community Care of NC collaborative Project Lazarus and found that at least two of the spoke to have a significant positive impact on mortality due to overdose.  (Project Lazarus, 2018)",https://www.projectlazarus.org/,Project Lazarus. (2018). [Webpage]. Retrieved from https://www.projectlazarus.org/ ,Significant Improvement,,"CA,CO,DE,FL,GA,IL,IN,KY,ME,MD,MA,MI,MN,NJ,NM,NY,NC,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WV,WI",Rural,Community Example,,"Prevention,Harm Reduction,Treatment,Recovery","Health Care Providers,Mental Health Care Providers,State Officials,Community Officials,County Officials,Police,Schools,Public Health Officials,Anti-Drug Coalition,Non-Governmental Community Organization","Community,County,State",Domestic,"Naloxone,Training,Policy,Medication Assisted Treatment,Pharmacotherapy,Communication,Prescription Drug Disposal,Prescription Drug Storage,Outreach,Family Involvement,Wrap-Around Services,Peer-Support",General,APPROVED
92,Lessons Learned from Naloxone Training and Distribution Programs in NYC,Layperson Training in Administration of Naloxone,"Abstract: ""Fatal heroin overdose is a significant cause of mortality for injection drug users (IDUs). Many of these deaths are preventable because opiate overdoses can be quickly and safely reversed through the injection of Naloxone [brand name Narcan], a prescription drug used to revive persons who have overdosed on heroin or other opioids. Currently, in several cities in the United States, drug users are being trained in naloxone administration and given naloxone for immediate and successful reversals of opiate overdoses. There has been very little formal description of the challenges faced in the development and implementation of large-scale IDU naloxone administration training and distribution programs and the lessons learned during this process. During a one year period, over 1,000 participants were trained in SKOOP (Skills and Knowledge on Opiate Prevention) and received a prescription for naloxone by a medical doctor on site at a syringe exchange program (SEP) in New York City. Participants in SKOOP were over the age of 18, current participants of SEPs, and current or former drug users. We present details about program design and lessons learned during the development and implementation of SKOOP. Lessons learned described in the manuscript are collectively articulated by the evaluators and implementers of the project. There were six primary challenges and lessons learned in developing, implementing, and evaluating SKOOP. These include a) political climate surrounding naloxone distribution; b) extant prescription drug laws; c) initial low levels of recruitment into the program; d) development of participant appropriate training methodology; e) challenges in the design of a suitable formal evaluation; and f) evolution of program response to naloxone. Other naloxone distribution programs may anticipate similar challenges to SKOOP and we identify mechanisms to address them. Strategies include being flexible in program planning and implementation, developing evaluation instruments for feasibility and simplicity, and responding to and incorporating feedback from participants."" (Piper et al., 2007)","Abstract: ""Fatal heroin overdose is a significant cause of mortality for injection drug users (IDUs). Many of these deaths are preventable because opiate overdoses can be quickly and safely reversed through the injection of Naloxone [brand name Narcan], a prescription drug used to revive persons who have overdosed on heroin or other opioids. Currently, in several cities in the United States, drug users are being trained in naloxone administration and given naloxone for immediate and successful reversals of opiate overdoses. There has been very little formal description of the challenges faced in the development and implementation of large-scale IDU naloxone administration training and distribution programs and the lessons learned during this process. During a one year period, over 1,000 participants were trained in SKOOP (Skills and Knowledge on Opiate Prevention) and received a prescription for naloxone by a medical doctor on site at a syringe exchange program (SEP) in New York City. Participants in SKOOP were over the age of 18, current participants of SEPs, and current or former drug users. We present details about program design and lessons learned during the development and implementation of SKOOP. Lessons learned described in the manuscript are collectively articulated by the evaluators and implementers of the project. There were six primary challenges and lessons learned in developing, implementing, and evaluating SKOOP. These include a) political climate surrounding naloxone distribution; b) extant prescription drug laws; c) initial low levels of recruitment into the program; d) development of participant appropriate training methodology; e) challenges in the design of a suitable formal evaluation; and f) evolution of program response to naloxone. Other naloxone distribution programs may anticipate similar challenges to SKOOP and we identify mechanisms to address them. Strategies include being flexible in program planning and implementation, developing evaluation instruments for feasibility and simplicity, and responding to and incorporating feedback from participants."" (Piper et al., 2007)",https://doi.org/10.1186/1477-7517-4-3,"Piper, T. M., Rudenstine, S., Stancliff, S., Sherman, S., Nandi, V., Clear, A., & Galea, S. (2007). Overdose prevention for injection drug users: lessons learned from naloxone training and distribution programs in New York City. Harm Reduction Journal, 4(1), 3.",Significant Improvement,New York City,NY,Urban,Published Literature,,Harm Reduction,"Health Care Providers,Community Officials,Anti-Drug Coalition",Community,Domestic,"Naloxone,Training,Medication Assisted Treatment,Pharmacotherapy,Behavioral,Syringe Services","General,Adults",APPROVED
